DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
02/09/2019 02:45,865,925,All Island
02/09/2019 03:00,885,946,All Island
02/09/2019 03:15,907,977,All Island
02/09/2019 03:30,928,1012,All Island
02/09/2019 03:45,950,1021,All Island
02/09/2019 04:00,974,1170,All Island
02/09/2019 04:15,1000,1204,All Island
02/09/2019 04:30,1026,1213,All Island
02/09/2019 04:45,1052,1236,All Island
02/09/2019 05:00,1076,1297,All Island
02/09/2019 05:15,1098,1344,All Island
02/09/2019 05:30,1120,1413,All Island
02/09/2019 05:45,1142,1411,All Island
02/09/2019 06:00,1169,1483,All Island
02/09/2019 06:15,1200,1584,All Island
02/09/2019 06:30,1231,1628,All Island
02/09/2019 06:45,1262,1623,All Island
02/09/2019 07:00,1457,1684,All Island
02/09/2019 07:15,1504,1706,All Island
02/09/2019 07:30,1552,1742,All Island
02/09/2019 07:45,1601,1635,All Island
02/09/2019 08:00,1653,1685,All Island
02/09/2019 08:15,1711,1768,All Island
02/09/2019 08:30,1769,1821,All Island
02/09/2019 08:45,1826,1813,All Island
02/09/2019 09:00,1870,1848,All Island
02/09/2019 09:15,1899,1815,All Island
02/09/2019 09:30,1929,1882,All Island
02/09/2019 09:45,1959,2047,All Island
02/09/2019 10:00,2001,2168,All Island
02/09/2019 10:15,2057,2265,All Island
02/09/2019 10:30,2113,2343,All Island
02/09/2019 10:45,2168,2371,All Island
02/09/2019 11:00,2209,2397,All Island
02/09/2019 11:15,2236,2393,All Island
02/09/2019 11:30,2263,2444,All Island
02/09/2019 11:45,2289,2420,All Island
02/09/2019 12:00,2308,2493,All Island
02/09/2019 12:15,2320,2589,All Island
02/09/2019 12:30,2332,2583,All Island
02/09/2019 12:45,2344,2533,All Island
02/09/2019 13:00,2373,2591,All Island
02/09/2019 13:15,2412,2558,All Island
02/09/2019 13:30,2450,2661,All Island
02/09/2019 13:45,2488,2653,All Island
02/09/2019 14:00,2521,2672,All Island
02/09/2019 14:15,2549,2756,All Island
02/09/2019 14:30,2577,2808,All Island
02/09/2019 14:45,2605,2767,All Island
02/09/2019 15:00,2616,2833,All Island
02/09/2019 15:15,2610,2790,All Island
02/09/2019 15:30,2604,2770,All Island
02/09/2019 15:45,2599,2773,All Island
02/09/2019 16:00,2594,2781,All Island
02/09/2019 16:15,2590,2743,All Island
02/09/2019 16:30,2587,2698,All Island
02/09/2019 16:45,2583,2628,All Island
02/09/2019 17:00,2560,2639,All Island
02/09/2019 17:15,2516,2619,All Island
02/09/2019 17:30,2473,2601,All Island
02/09/2019 17:45,2430,2578,All Island
02/09/2019 18:00,2386,2450,All Island
02/09/2019 18:15,2342,2441,All Island
02/09/2019 18:30,2299,2363,All Island
02/09/2019 18:45,2255,2336,All Island
02/09/2019 19:00,2258,2269,All Island
02/09/2019 19:15,2197,2216,All Island
02/09/2019 19:30,2136,2151,All Island
02/09/2019 19:45,2075,2073,All Island
02/09/2019 20:00,2018,2016,All Island
02/09/2019 20:15,1964,2007,All Island
02/09/2019 20:30,1911,1990,All Island
02/09/2019 20:45,1857,2015,All Island
02/09/2019 21:00,1817,1953,All Island
02/09/2019 21:15,1791,1877,All Island
02/09/2019 21:30,1765,1818,All Island
02/09/2019 21:45,1739,1843,All Island
02/09/2019 22:00,1729,1864,All Island
02/09/2019 22:15,1734,1903,All Island
02/09/2019 22:30,1740,1867,All Island
02/09/2019 22:45,1745,1863,All Island
02/09/2019 23:00,1735,1703,All Island
02/09/2019 23:15,1710,1641,All Island
02/09/2019 23:30,1684,1657,All Island
02/09/2019 23:45,1659,1600,All Island
03/09/2019 00:00,1638,1604,All Island
03/09/2019 00:15,1623,1676,All Island
03/09/2019 00:30,1608,1609,All Island
03/09/2019 00:45,1593,1572,All Island
03/09/2019 01:00,1549,1553,All Island
03/09/2019 01:15,1541,1643,All Island
03/09/2019 01:30,1533,1702,All Island
03/09/2019 01:45,1524,1688,All Island
03/09/2019 02:00,1522,1624,All Island
03/09/2019 02:15,1525,1589,All Island
03/09/2019 02:30,1529,1592,All Island
03/09/2019 02:45,1532,1548,All Island
03/09/2019 03:00,1532,1476,All Island
03/09/2019 03:15,1528,1526,All Island
03/09/2019 03:30,1524,1502,All Island
03/09/2019 03:45,1520,1545,All Island
03/09/2019 04:00,1516,1498,All Island
03/09/2019 04:15,1511,1511,All Island
03/09/2019 04:30,1507,1497,All Island
03/09/2019 04:45,1502,1428,All Island
03/09/2019 05:00,1496,1470,All Island
03/09/2019 05:15,1489,1474,All Island
03/09/2019 05:30,1481,1508,All Island
03/09/2019 05:45,1474,1529,All Island
03/09/2019 06:00,1467,1557,All Island
03/09/2019 06:15,1462,1637,All Island
03/09/2019 06:30,1457,1625,All Island
03/09/2019 06:45,1452,1665,All Island
03/09/2019 07:00,1540,1692,All Island
03/09/2019 07:15,1536,1712,All Island
03/09/2019 07:30,1532,1748,All Island
03/09/2019 07:45,1528,1730,All Island
03/09/2019 08:00,1521,1823,All Island
03/09/2019 08:15,1511,1863,All Island
03/09/2019 08:30,1500,1802,All Island
03/09/2019 08:45,1489,1708,All Island
03/09/2019 09:00,1476,1805,All Island
03/09/2019 09:15,1460,1844,All Island
03/09/2019 09:30,1444,1810,All Island
03/09/2019 09:45,1427,1802,All Island
03/09/2019 10:00,1441,1898,All Island
03/09/2019 10:15,1484,1929,All Island
03/09/2019 10:30,1527,1911,All Island
03/09/2019 10:45,1570,1837,All Island
03/09/2019 11:00,1604,1770,All Island
03/09/2019 11:15,1628,1828,All Island
03/09/2019 11:30,1652,1830,All Island
03/09/2019 11:45,1676,1815,All Island
03/09/2019 12:00,1689,1765,All Island
03/09/2019 12:15,1689,1793,All Island
03/09/2019 12:30,1690,1772,All Island
03/09/2019 12:45,1691,1764,All Island
03/09/2019 13:00,1713,1800,All Island
03/09/2019 13:15,1737,1759,All Island
03/09/2019 13:30,1761,1690,All Island
03/09/2019 13:45,1785,1737,All Island
03/09/2019 14:00,1806,1905,All Island
03/09/2019 14:15,1823,1834,All Island
03/09/2019 14:30,1840,1769,All Island
03/09/2019 14:45,1858,1744,All Island
03/09/2019 15:00,1874,1726,All Island
03/09/2019 15:15,1889,1706,All Island
03/09/2019 15:30,1904,1654,All Island
03/09/2019 15:45,1919,1569,All Island
03/09/2019 16:00,1936,1617,All Island
03/09/2019 16:15,1953,1641,All Island
03/09/2019 16:30,1971,1767,All Island
03/09/2019 16:45,1989,1588,All Island
03/09/2019 17:00,1977,1496,All Island
03/09/2019 17:15,1936,1575,All Island
03/09/2019 17:30,1896,1564,All Island
03/09/2019 17:45,1854,1504,All Island
03/09/2019 18:00,1817,1521,All Island
03/09/2019 18:15,1784,1581,All Island
03/09/2019 18:30,1751,1598,All Island
03/09/2019 18:45,1718,1517,All Island
03/09/2019 19:00,1247,1453,All Island
03/09/2019 19:15,1242,1391,All Island
03/09/2019 19:30,1237,1316,All Island
03/09/2019 19:45,1233,1306,All Island
03/09/2019 20:00,1257,1296,All Island
03/09/2019 20:15,1312,1304,All Island
03/09/2019 20:30,1366,1243,All Island
03/09/2019 20:45,1420,1254,All Island
03/09/2019 21:00,1445,1291,All Island
03/09/2019 21:15,1441,1401,All Island
03/09/2019 21:30,1436,1478,All Island
03/09/2019 21:45,1432,1583,All Island
03/09/2019 22:00,1465,1504,All Island
03/09/2019 22:15,1537,1617,All Island
03/09/2019 22:30,1609,1588,All Island
03/09/2019 22:45,1680,1536,All Island
03/09/2019 23:00,1756,1668,All Island
03/09/2019 23:15,1834,1806,All Island
03/09/2019 23:30,1913,1706,All Island
03/09/2019 23:45,1992,1681,All Island
04/09/2019 00:00,2063,1666,All Island
04/09/2019 00:15,2125,1707,All Island
04/09/2019 00:30,2188,1777,All Island
04/09/2019 00:45,2251,1793,All Island
04/09/2019 01:00,2047,1725,All Island
04/09/2019 01:15,2055,1699,All Island
04/09/2019 01:30,2062,1753,All Island
04/09/2019 01:45,2069,1784,All Island
04/09/2019 02:00,2090,1754,All Island
04/09/2019 02:15,2125,1804,All Island
04/09/2019 02:30,2160,1720,All Island
04/09/2019 02:45,2194,1699,All Island
04/09/2019 03:00,2227,1757,All Island
04/09/2019 03:15,2258,1789,All Island
04/09/2019 03:30,2289,1827,All Island
04/09/2019 03:45,2320,1906,All Island
04/09/2019 04:00,2358,1911,All Island
04/09/2019 04:15,2403,1965,All Island
04/09/2019 04:30,2449,1999,All Island
04/09/2019 04:45,2494,2083,All Island
04/09/2019 05:00,2529,2066,All Island
04/09/2019 05:15,2555,2085,All Island
04/09/2019 05:30,2580,2056,All Island
04/09/2019 05:45,2605,2053,All Island
04/09/2019 06:00,2633,2094,All Island
04/09/2019 06:15,2664,2215,All Island
